pgs_id,trait,index
PGS000777,"cognitive decline measurement, Parkinson's disease",401
PGS000778,hypertrophic cardiomyopathy,402
PGS000779,Alzheimer's disease,403
PGS000780,allergy,404
PGS000781,"brain neoplasm, glioma",405
PGS000782,bladder carcinoma,406
PGS000785,colorectal cancer,407
PGS000786,endometrial carcinoma,408
PGS000787,renal cell carcinoma,409
PGS000788,lymphoid leukemia,410
PGS000789,lung carcinoma,411
PGS000790,melanoma,412
PGS000793,ovarian carcinoma,413
PGS000794,pancreatic carcinoma,414
PGS000796,"testicular carcinoma, Testicular Germ Cell Tumor",415
PGS000797,thyroid carcinoma,416
PGS000798,coronary artery disease,417
PGS000799,asthma,418
PGS000800,allergy,419
PGS000801,colorectal cancer,420
PGS000802,colorectal cancer,421
PGS000803,systemic lupus erythematosus,422
PGS000804,type II diabetes mellitus,423
PGS000805,type II diabetes mellitus,424
PGS000806,type II diabetes mellitus,425
PGS000807,type II diabetes mellitus,426
PGS000808,type II diabetes mellitus,427
PGS000809,multiple sclerosis,428
PGS000810,allergy,429
PGS000811,Alzheimer's disease,430
PGS000812,Alzheimer's disease,431
PGS000813,melanoma,432
PGS000814,low density lipoprotein cholesterol measurement,433
PGS000815,alkaline phosphatase measurement,434
PGS000816,serum alanine aminotransferase measurement,435
PGS000817,serum gamma-glutamyl transferase measurement,436
PGS000818,coronary artery disease,437
PGS000819,diabetic retinopathy,438
PGS000820,hypothyroidism,439
PGS000821,Thyroid preparation use measurement,440
PGS000822,urinary albumin to creatinine ratio,441
PGS000823,Alzheimer's disease,442
PGS000824,low density lipoprotein cholesterol measurement,443
PGS000825,high density lipoprotein cholesterol measurement,444
PGS000826,triglyceride measurement,445
PGS000827,"male, waist circumference",446
PGS000828,"female, waist circumference",447
PGS000829,"body mass index, male",448
PGS000830,"body mass index, female",449
PGS000831,total cholesterol measurement,450
PGS000865,liver fat measurement,451
PGS000866,liver fat measurement,452
PGS000867,allergy,453
PGS000868,type II diabetes mellitus,454
PGS000869,type I diabetes mellitus,455
PGS000870,complication,456
PGS000871,insulin secretion measurement,457
PGS000872,non-alcoholic fatty liver disease,458
PGS000873,breast carcinoma,459
PGS000874,chronic lymphocytic leukemia,460
PGS000875,low density lipoprotein cholesterol measurement,461
PGS000876,Alzheimer's disease,462
PGS000877,insulin resistance,463
PGS000878,prostate carcinoma,464
PGS000879,intraocular pressure measurement,465
PGS000880,lung carcinoma,466
PGS000881,prostate carcinoma,467
PGS000882,vitamin D measurement,468
PGS000883,glomerular filtration rate,469
PGS000884,glomerular filtration rate,470
PGS000885,glomerular filtration rate,471
PGS000902,Parkinson's disease,472
PGS000903,Parkinson's disease,473
PGS000906,longevity,474
PGS000907,major depressive disorder,475
PGS000908,insomnia,476
PGS000909,Headache,477
PGS000910,body mass index,478
PGS000914,Abnormal EKG,479
PGS000915,asthma,480
